Smiles,Source
o1ccc(n1)c2cnc[nH]2,Enamine
Cc1ccc(F)cc1c2cnc[nH]2,Enamine
CCC1CCC(CC1)c2cnc[nH]2,Enamine
Cc1nc[nH]c1C2(C)CO2,Enamine
Cc1nc[nH]c1C(C)(C)C#C,Enamine
CC(C#C)c1nc[nH]c1C,Enamine
C(c1ccc2OCCc2c1)c3cnc[nH]3,Enamine
Cc1[nH]cnc1C(=O)C=C,Enamine
CCC(=O)c1nc[nH]c1C,Enamine
Cc1c(cnn1C)c2cnc[nH]2,Enamine
CC(=O)Cc1nc[nH]c1C,Enamine
COc1ccc(c(OC)c1OC)c2cnc[nH]2,Enamine
COc1cccc(F)c1c2cnc[nH]2,Enamine
Cc1cccc(c1C)c2cnc[nH]2,Enamine
COc1cc(OC)c(cc1OC)c2cnc[nH]2,Enamine
Cc1ccc2cc(ccc2n1)c3cnc[nH]3,Enamine
COc1ccc(nc1)c2cnc[nH]2,Enamine
Cn1cccc1c2cnc[nH]2,Enamine
CC1(C)CCC(C1)c2cnc[nH]2,Enamine
CCOc1ccc(cc1OC)c2cnc[nH]2,Enamine
CCOc1cc(ccc1OC)c2cnc[nH]2,Enamine
CCC1(COC1)c2cnc[nH]2,Enamine
Cc1onc(c1)c2cnc[nH]2,Enamine
C1CCc2c(C1)cccc2c3cnc[nH]3,Enamine
Fc1cnccc1c2cnc[nH]2,Enamine
CC(=O)CCc1cnc[nH]1,Enamine
CC(C)(C#C)c1cnc[nH]1,Enamine
Cc1cncc(c1)c2cnc[nH]2,Enamine
Cc1ccnc(c1)c2cnc[nH]2,Enamine
CC1(COC1)c2cnc[nH]2,Enamine
C1CC(CC=C1)c2cnc[nH]2,Enamine
C#Cc1ccccc1c2cnc[nH]2,Enamine
CCOc1cccc(c1OC)c2cnc[nH]2,Enamine
C1CCC(OC1)c2cnc[nH]2,Enamine
Cc1ccncc1c2cnc[nH]2,Enamine
Cc1cc(C)cc(c1)c2cnc[nH]2,Enamine
CN(C)c1cccc(c1)c2cnc[nH]2,Enamine
COc1cc(cc(OC)c1OC)c2cnc[nH]2,Enamine
COc1c(F)cccc1c2cnc[nH]2,Enamine
Fc1ncccc1c2cnc[nH]2,Enamine
C1Cc2cc(ccc2O1)c3cnc[nH]3,Enamine
Fc1cc(c(F)c(F)c1F)c2cnc[nH]2,Enamine
COc1cncc(OC)c1c2cnc[nH]2,Enamine
c1ccc2nc(cnc2c1)c3cnc[nH]3,Enamine
Fc1cc(cc(F)c1F)c2cnc[nH]2,Enamine
C(Cc1cnc[nH]1)C2CCCC2,Enamine
Cc1cc(F)ccc1c2cnc[nH]2,Enamine
C1C2CC(C1C=C2)c3cnc[nH]3,Enamine
CC(=O)C=Cc1cncs1,Enamine
Cc1cccnc1c2cnc[nH]2,Enamine
Cc1oncc1c2cnc[nH]2,Enamine
CN1CCc2cc(ccc12)c3cnc[nH]3,Enamine
CN(C)c1ccc(cc1)c2cnc[nH]2,Enamine
c1ccc2cc(ccc2c1)c3cnc[nH]3,Enamine
CC(=O)C=Cc1cnc[nH]1,Enamine
CC(=O)C=Cc1scnc1C,Enamine
C(Oc1ccccc1c2cnc[nH]2)c3ccccc3,Enamine
C(Oc1ccc(cc1)c2cnc[nH]2)c3ccccc3,Enamine
C1CC1(c2ccccc2)c3cnc[nH]3,Enamine
c1ccc(cc1)c2ccccc2c3cnc[nH]3,Enamine
c1ccc(cc1)C(c2ccccc2)c3cnc[nH]3,Enamine
c1ccc(cc1)n2cc(cn2)c3cnc[nH]3,Enamine
C(N1CCCCC1c2cnc[nH]2)c3ccccc3,Enamine
C(Oc1cccc(c1)c2cnc[nH]2)c3ccccc3,Enamine
Cn1nc(cc1c2cnc[nH]2)c3ccccc3,Enamine
C1CCC(C1)(c2ccccc2)c3cnc[nH]3,Enamine
Cc1nn(Cc2ccccc2)c(C)c1c3cnc[nH]3,Enamine
C(N1CCOC(C1)c2cnc[nH]2)c3ccccc3,Enamine
C(N1CCCC(C1)c2cnc[nH]2)c3ccccc3,Enamine
C(N1CCCC1c2cnc[nH]2)c3ccccc3,Enamine
c1nc(cs1)c2cn[nH]c2,Enamine
CC(=O)C=Cc1cscn1,Enamine
c1ccc(cc1)c2ccc(s2)c3cnc[nH]3,Enamine
c1ccc(cc1)n2cc(nn2)c3cnc[nH]3,Enamine
CC(=Cc1ccccc1)c2cnc[nH]2,Enamine
Cc1ccc(c(Br)c1)c2cnc[nH]2,Enamine
Clc1ccc(Br)cc1c2cnc[nH]2,Enamine
Cc1ccc(Br)cc1c2cnc[nH]2,Enamine
COc1ccc(c(Br)c1)c2cnc[nH]2,Enamine
Brc1ccsc1c2cnc[nH]2,Enamine
Brc1csc(c1)c2cnc[nH]2,Enamine
Brc1cnccc1c2cnc[nH]2,Enamine
COc1cc(Br)c(cc1OC)c2cnc[nH]2,Enamine
COc1cncc(Br)c1c2cnc[nH]2,Enamine
Fc1cc(Br)ccc1c2cnc[nH]2,Enamine
Clc1cc(ccc1Br)c2cnc[nH]2,Enamine
Brc1ccc(nc1)c2cnc[nH]2,Enamine
COc1cc(Br)ccc1c2cnc[nH]2,Enamine
Cc1ccc(Br)c(c1)c2cnc[nH]2,Enamine
Fc1cccc(c1Br)c2cnc[nH]2,Enamine
Cc1c(Br)cccc1c2cnc[nH]2,Enamine
Clc1cc(c(Br)cn1)c2cnc[nH]2,Enamine
Clc1ccc(Br)c(c1)c2cnc[nH]2,Enamine
Fc1ncc(Br)cc1c2cnc[nH]2,Enamine
COc1c(F)cc(Br)cc1c2cnc[nH]2,Enamine
COc1cccc(Br)c1c2cnc[nH]2,Enamine
Fc1cccc(Br)c1c2cnc[nH]2,Enamine
Cn1nc(Br)cc1c2cnc[nH]2,Enamine
Fc1ccc(c(F)c1Br)c2cnc[nH]2,Enamine
Brc1cnc(nc1c2cnc[nH]2)C3CC3,Enamine
COc1sc(cc1Br)c2cnc[nH]2,Enamine
Cc1cc(Br)cc(c1)c2cnc[nH]2,Enamine
Cc1cc(Br)c(s1)c2cnc[nH]2,Enamine
COc1ncc(Br)cc1c2cnc[nH]2,Enamine
Brc1cn[nH]c1c2cnc[nH]2,Enamine
Brc1cccc(n1)c2cnc[nH]2,Enamine
Brc1cc(cs1)c2cnc[nH]2,Enamine
Brc1cc(cc2OCCOc12)c3cnc[nH]3,Enamine
Cc1sc(cc1Br)c2cnc[nH]2,Enamine
Cc1csc(c1Br)c2cnc[nH]2,Enamine
Fc1c(Cl)ccc(Br)c1c2cnc[nH]2,Enamine
Brc1cnc(s1)c2cnc[nH]2,Enamine
Clc1sc(cc1Br)c2cnc[nH]2,Enamine
Cc1cc(Br)ccc1c2cnc[nH]2,Enamine
Clc1cc(Br)cc(c1)c2cnc[nH]2,Enamine
Brc1ccc(cc1)C2(CC2)c3cnc[nH]3,Enamine
COc1cccc(c1Br)c2cnc[nH]2,Enamine
Cc1cc(ccc1Br)c2cnc[nH]2,Enamine
COc1cc(Br)cc(OC)c1c2cnc[nH]2,Enamine
Fc1cc(Br)cc(F)c1c2cnc[nH]2,Enamine
Fc1cc(Br)c(cc1F)c2cnc[nH]2,Enamine
Cc1cc(cc(C)c1Br)c2cnc[nH]2,Enamine
Fc1ccc(c(Br)c1)c2cnc[nH]2,Enamine
Clc1cccc(Br)c1c2cnc[nH]2,Enamine
COc1cc(Br)cc(F)c1c2cnc[nH]2,Enamine
Fc1cc(Br)cc(c1)c2cnc[nH]2,Enamine
Clc1cc(Br)ccc1c2cnc[nH]2,Enamine
COc1cc(Br)cc(c1OC)c2cnc[nH]2,Enamine
Brc1cnc(nc1)c2cnc[nH]2,Enamine
COc1cc(cc(OC)c1Br)c2cnc[nH]2,Enamine
COc1cc(cc(Br)c1OC)c2cnc[nH]2,Enamine
Brc1nc(cs1)c2cnc[nH]2,Enamine
Brc1cccnc1c2cnc[nH]2,Enamine
COc1cc(ccc1Br)c2cnc[nH]2,Enamine
COc1ccc(c(Br)c1OC)c2cnc[nH]2,Enamine
COc1c(Br)cc(Cl)cc1c2cnc[nH]2,Enamine
Cc1ccc(cc1Br)c2cnc[nH]2,Enamine
Clc1ccc(cc1Br)c2cnc[nH]2,Enamine
Fc1cc(ccc1Br)c2cnc[nH]2,Enamine
COc1ccc(Br)c(c1)c2cnc[nH]2,Enamine
COc1c(Br)cccc1c2cnc[nH]2,Enamine
Clc1ncc(Br)cc1c2cnc[nH]2,Enamine
Fc1ccc(Br)c(c1)c2cnc[nH]2,Enamine
COc1cc(Br)c(c(OC)c1)c2cnc[nH]2,Enamine
Cc1ccc(c(C)c1Br)c2cnc[nH]2,Enamine
Cc1ccc(cc1C(F)(F)F)c2cnc[nH]2,Enamine
FC(F)(F)c1ccc(cc1Cl)c2cnc[nH]2,Enamine
FC(F)(F)c1cc(ccc1Cl)c2cnc[nH]2,Enamine
FC(F)(F)C(c1cnc[nH]1)C(F)(F)F,Enamine
FC(F)(F)Sc1ccc(cc1)c2cnc[nH]2,Enamine
Cc1[nH]cnc1C(=O)C(F)(F)F,Enamine
Cc1[nH]cnc1CC(=O)C(F)(F)F,Enamine
COc1cc(ccc1C(F)(F)F)c2cnc[nH]2,Enamine
FC(F)(F)C(F)(F)Cc1cnc[nH]1,Enamine
FC(F)(F)c1ccc(nc1)c2cnc[nH]2,Enamine
